cfips,ba,county,state,latitude,longitude,wkt,geometry
48495,p62,winkler,TX,31.8614,-103.0627,POINT (-103.0627 31.8614),POINT (-669140.2651028204 -766099.4329341521)
48001,p63,anderson,TX,31.7951,-95.6887,POINT (-95.6887 31.7951),POINT (29548.401835648234 -799321.1603212316)
48005,p63,angelina,TX,31.2769,-94.6355,POINT (-94.6355 31.2769),POINT (130370.92869996703 -855853.6784814374)
48009,p63,archer,TX,33.6138,-98.6883,POINT (-98.6883 33.6138),POINT (-249187.33853742707 -594006.6646209811)
48027,p63,bell,TX,31.0402,-97.51,POINT (-97.51 31.0402),POINT (-144705.20954216673 -881874.5582282569)
48035,p63,bosque,TX,31.8982,-97.6486,POINT (-97.6486 31.8982),POINT (-156266.44646775947 -786527.1822768024)
48049,p63,brown,TX,31.7664,-98.958,POINT (-98.958 31.7664),POINT (-280821.5973863738 -797999.7424651281)
48073,p63,cherokee,TX,31.7826,-95.1853,POINT (-95.1853 31.7826),POINT (77341.57388365126 -800412.1694154191)
48077,p63,clay,TX,33.81,-98.2007,POINT (-98.2007 33.81),POINT (-203474.7287656719 -573462.4583178727)
48085,p63,collin,TX,33.1929,-96.5676,POINT (-96.5676 33.1929),POINT (-52910.23365735182 -644197.2951136761)
48093,p63,comanche,TX,31.9702,-98.5993,POINT (-98.5993 31.9702),POINT (-246133.76531965946 -776448.2296145606)
48097,p63,cooke,TX,33.6877,-97.2144,POINT (-97.2144 33.6877),POINT (-112470.45549034068 -588733.803791478)
48099,p63,coryell,TX,31.394,-97.8008,POINT (-97.8008 31.394),POINT (-171795.1862918194 -842149.4514260619)
48113,p63,dallas,TX,32.7661,-96.7774,POINT (-96.7774 32.7661),POINT (-72870.28447503647 -691385.2405408155)
48119,p63,delta,TX,33.357,-95.7245,POINT (-95.7245 33.357),POINT (25627.01982322948 -626122.996615496)
48121,p63,denton,TX,33.2078,-97.1156,POINT (-97.1156 33.2078),POINT (-103971.5640524527 -642073.588425032)
48133,p63,eastland,TX,32.2936,-98.8015,POINT (-98.8015 32.2936),POINT (-264173.51705682307 -740036.8049642332)
48139,p63,ellis,TX,32.3014,-96.7619,POINT (-96.7619 32.3014),POINT (-71847.85320530352 -742929.1408324237)
48143,p63,erath,TX,32.214,-98.2274,POINT (-98.2274 32.214),POINT (-210265.02111921992 -750353.6646279362)
48145,p63,falls,TX,31.2537,-96.9393,POINT (-96.9393 31.2537),POINT (-89772.84867076162 -858938.9380443726)
48147,p63,fannin,TX,33.6132,-96.1193,POINT (-96.1193 33.6132),POINT (-11059.757753536343 -597738.53246187)
48159,p63,franklin,TX,33.179,-95.2164,POINT (-95.2164 33.179),POINT (73058.85012145093 -645589.772554126)
48161,p63,freestone,TX,31.7139,-96.1581,POINT (-96.1581 31.7139),POINT (-15021.671243540744 -808362.2385825282)
48181,p63,grayson,TX,33.6831,-96.662,POINT (-96.662 33.6831),POINT (-61315.40046724796 -589770.2632665951)
48193,p63,hamilton,TX,31.7167,-98.0987,POINT (-98.0987 31.7167),POINT (-199386.7527194935 -805770.7522354871)
48213,p63,henderson,TX,32.1827,-95.8182,POINT (-95.8182 32.1827),POINT (17170.852794170023 -756374.8706382514)
48217,p63,hill,TX,31.9888,-97.1227,POINT (-97.1227 31.9888),POINT (-106297.04815059733 -777239.0026920723)
48221,p63,hood,TX,32.3932,-97.8161,POINT (-97.8161 32.3932),POINT (-171048.52480917436 -731346.3731480608)
48223,p63,hopkins,TX,33.1751,-95.5852,POINT (-95.5852 33.1751),POINT (38676.27193961689 -646248.1607701954)
48225,p63,houston,TX,31.26,-95.4349,POINT (-95.4349 31.26),POINT (54005.911610178206 -858535.3727687595)
48231,p63,hunt,TX,33.1232,-96.0795,POINT (-96.0795 33.1232),POINT (-7417.313376407463 -652088.9344649743)
48237,p63,jack,TX,33.2355,-98.1705,POINT (-98.1705 33.2355),POINT (-202199.18942518637 -637231.3113231233)
48251,p63,johnson,TX,32.3415,-97.3509,POINT (-97.3509 32.3415),POINT (-127322.39660442596 -737839.5954545791)
48257,p63,kaufman,TX,32.5982,-96.2991,POINT (-96.2991 32.5982),POINT (-28097.521388071065 -710269.6335802877)
48277,p63,lamar,TX,33.6614,-95.5832,POINT (-95.5832 33.6614),POINT (38616.191789439465 -592311.420604133)
48281,p63,lampasas,TX,31.2393,-98.2864,POINT (-98.2864 31.2393),POINT (-218542.5371357802 -858258.3749671243)
48289,p63,leon,TX,31.3146,-95.9962,POINT (-95.9962 31.3146),POINT (363.4504820071792 -852648.8792746399)
48293,p63,limestone,TX,31.5165,-96.5516,POINT (-96.5516 31.5165),POINT (-52542.90345429071 -830104.0992047846)
48307,p63,mcculloch,TX,31.217,-99.3467,POINT (-99.3467 31.217),POINT (-319942.56105616 -857599.7484240847)
48309,p63,mclennan,TX,31.5514,-97.2004,POINT (-97.2004 31.5514),POINT (-114291.66211809368 -825641.1911699788)
48313,p63,madison,TX,30.9585,-95.9474,POINT (-95.9474 30.9585),POINT (5046.723735969878 -892128.8719456889)
48331,p63,milam,TX,30.7849,-96.9758,POINT (-96.9758 30.7849),POINT (-93817.1739196438 -910875.0495721458)
48333,p63,mills,TX,31.4778,-98.6518,POINT (-98.6518 31.4778),POINT (-252690.96252127286 -830880.2206454475)
48337,p63,montague,TX,33.7131,-97.732,POINT (-97.732 33.7131),POINT (-160349.14842644887 -585142.8359167953)
48349,p63,navarro,TX,32.0628,-96.4755,POINT (-96.4755 32.0628),POINT (-44978.150240316776 -769570.3388324189)
48363,p63,palo pinto,TX,32.7706,-98.3186,POINT (-98.3186 32.7706),POINT (-217303.54915248445 -688434.611661474)
48367,p63,parker,TX,32.7816,-97.8046,POINT (-97.8046 32.7816),POINT (-169113.46520342023 -688303.875662888)
48379,p63,rains,TX,32.8458,-95.8013,POINT (-95.8013 32.8458),POINT (18606.74034249524 -682836.7311341069)
48387,p63,red river,TX,33.6418,-95.0283,POINT (-95.0283 33.6418),POINT (90048.7488379749 -594093.9072754058)
48395,p63,robertson,TX,31.0267,-96.5129,POINT (-96.5129 31.0267),POINT (-49161.88751216715 -884430.8159290642)
48397,p63,rockwall,TX,32.8972,-96.4077,POINT (-96.4077 32.8972),POINT (-38151.32650355051 -677071.3473789933)
48401,p63,rusk,TX,32.1261,-94.7873,POINT (-94.7873 32.1261),POINT (114616.2191969002 -761906.2938789531)
48411,p63,san saba,TX,31.2064,-98.8303,POINT (-98.8303 31.2064),POINT (-270628.69777923037 -860446.1327127508)
48417,p63,shackelford,TX,32.7367,-99.354,POINT (-99.354 32.7367),POINT (-314444.7768285259 -689173.9884920563)
48423,p63,smith,TX,32.4125,-95.2456,POINT (-95.2456 32.4125),POINT (71039.562739678 -730615.1958835413)
48425,p63,somervell,TX,32.2014,-97.7856,POINT (-97.7856 32.2014),POINT (-168592.5867510109 -752668.0480060712)
48429,p63,stephens,TX,32.7377,-98.836,POINT (-98.836 32.7377),POINT (-265894.77710312454 -690711.2473894033)
48439,p63,tarrant,TX,32.7708,-97.2917,POINT (-97.2917 32.7708),POINT (-121069.0187031779 -690317.334306378)
48447,p63,throckmorton,TX,33.1541,-99.2122,POINT (-99.2122 33.1541),POINT (-299526.3204103393 -643390.0848847793)
48467,p63,van zandt,TX,32.6033,-95.8351,POINT (-95.8351 32.6033),POINT (15490.348958059294 -709736.1119815687)
48485,p63,wichita,TX,33.9973,-98.6882,POINT (-98.6882 33.9973),POINT (-247924.5001874418 -551488.0022514953)
48497,p63,wise,TX,33.2115,-97.6555,POINT (-97.6555 33.2115),POINT (-154277.1916162034 -640898.9403967443)
