Unnamed: 0,Locations,capacity_solar,cf_solar,reg_mult_solar,capacity_wind,cf_wind,reg_mult_wind,latitude,longitude,county,capacity_geo,cf_geo,state,reg_mult,trans_dist_orig,trans_dist,telecom_dist,water_price,FIPS,clim_zone,state_id
53280,75371,4196.17,0.34,0.94,288.0,0.35,1.02,31.64,-104.06,Culberson,0.0,0.0,Texas,0.94,91.75,436.04,29.6,3.7857142857142856,48109,3B,48
53281,75372,4221.82,0.34,0.94,294.0,0.35,1.02,31.64,-103.94,Reeves,0.0,0.0,Texas,0.94,84.59,432.25,24.36,3.7857142857142856,48389,3B,48
53282,75373,4213.8,0.34,0.94,282.0,0.34,1.02,31.65,-103.81,Reeves,0.0,0.0,Texas,0.94,77.38,428.71,26.69,3.7857142857142856,48389,3B,48
53283,75374,4190.7,0.34,0.93,288.0,0.32,1.02,31.66,-103.68,Reeves,0.0,0.0,Texas,0.93,70.22,425.29,26.06,3.7857142857142856,48389,3B,48
53284,75375,4146.85,0.34,0.93,276.0,0.32,1.01,31.67,-103.56,Loving,0.0,0.0,Texas,0.93,63.01,422.05,24.46,3.7857142857142856,48301,3B,48
53285,75376,4178.02,0.34,0.93,282.0,0.34,1.01,31.68,-103.43,Loving,0.0,0.0,Texas,0.93,25.63,418.95,30.23,3.7857142857142856,48301,3B,48
53286,75377,4181.84,0.34,0.93,282.0,0.36,1.01,31.68,-103.3,Ward,0.0,0.0,Texas,0.93,18.47,416.02,40.35,3.7857142857142856,48475,7B,48
53287,75378,4144.34,0.34,0.93,282.0,0.38,1.01,31.69,-103.18,Winkler,0.0,0.0,Texas,0.93,11.31,413.34,33.26,3.7857142857142856,48495,3B,48
53288,75379,3967.83,0.34,0.93,282.0,0.39,1.01,31.7,-103.05,Winkler,0.0,0.0,Texas,0.93,10.27,410.74,21.36,3.7857142857142856,48495,3B,48
53289,75380,4099.37,0.34,0.93,282.0,0.42,1.01,31.71,-102.92,Winkler,0.0,0.0,Texas,0.93,10.58,408.4,14.22,3.7857142857142856,48495,3B,48
53290,75381,4162.21,0.34,0.93,282.0,0.45,1.01,31.71,-102.8,Ector,0.0,0.0,Texas,0.93,3.42,406.23,18.63,3.7857142857142856,48135,3B,48
53291,75382,4101.02,0.34,0.93,282.0,0.45,1.01,31.72,-102.67,Ector,0.0,0.0,Texas,0.93,12.85,404.24,29.84,3.7857142857142856,48135,3B,48
53292,75383,4030.35,0.34,0.93,294.0,0.48,1.01,31.73,-102.54,Ector,0.0,0.0,Texas,0.93,0.8,402.44,27.66,3.7857142857142856,48135,3B,48
53293,75384,3922.6,0.34,0.93,294.0,0.49,1.01,31.73,-102.42,Ector,0.0,0.0,Texas,0.93,10.12,400.82,18.34,3.7857142857142856,48135,3B,48
53299,75390,4049.68,0.33,0.92,300.0,0.51,1.0,31.77,-101.66,Glasscock,0.0,0.0,Texas,0.92,12.6,395.32,16.15,3.7857142857142856,48173,3B,48
53300,75391,3960.07,0.33,0.92,288.0,0.51,1.0,31.78,-101.53,Glasscock,0.0,0.0,Texas,0.92,0.73,394.81,7.87,3.7857142857142856,48173,3B,48
53301,75392,4004.98,0.33,0.92,294.0,0.52,1.0,31.78,-101.4,Glasscock,0.0,0.0,Texas,0.92,24.84,394.38,16.21,3.7857142857142856,48173,3B,48
53302,75393,4057.0,0.32,0.92,282.0,0.51,0.99,31.79,-101.27,Glasscock,0.0,0.0,Texas,0.92,24.62,393.98,29.33,3.7857142857142856,48173,3B,48
53303,75394,4103.75,0.32,0.92,282.0,0.51,0.99,31.79,-101.15,Sterling,0.0,0.0,Texas,0.92,18.17,393.85,43.1,3.7857142857142856,48431,3B,48
53304,75395,4214.75,0.32,0.92,288.0,0.44,0.99,31.8,-101.02,Sterling,0.0,0.0,Texas,0.92,21.19,393.83,52.28,3.7857142857142856,48431,3B,48
53305,75396,4231.6,0.32,0.91,282.0,0.41,0.99,31.8,-100.89,Sterling,0.0,0.0,Texas,0.91,27.33,394.1,43.35,3.7857142857142856,48431,3B,48
53306,75397,4211.52,0.32,0.91,318.0,0.5,0.99,31.81,-100.77,Coke,0.0,0.0,Texas,0.91,51.24,394.55,29.64,3.7857142857142856,48081,3B,48
53307,75398,4237.85,0.32,0.91,348.0,0.51,0.99,31.82,-100.64,Coke,0.0,0.0,Texas,0.91,57.91,394.94,16.5,3.7857142857142856,48081,3B,48
