location,value
48123,"{'ba': 'p64', 'county_name': 'dewitt', 'state': 'TX'}"
48137,"{'ba': 'p64', 'county_name': 'edwards', 'state': 'TX'}"
48149,"{'ba': 'p64', 'county_name': 'fayette', 'state': 'TX'}"
48171,"{'ba': 'p64', 'county_name': 'gillespie', 'state': 'TX'}"
48177,"{'ba': 'p64', 'county_name': 'gonzales', 'state': 'TX'}"
48185,"{'ba': 'p64', 'county_name': 'grimes', 'state': 'TX'}"
48187,"{'ba': 'p64', 'county_name': 'guadalupe', 'state': 'TX'}"
48209,"{'ba': 'p64', 'county_name': 'hays', 'state': 'TX'}"
48259,"{'ba': 'p64', 'county_name': 'kendall', 'state': 'TX'}"
48265,"{'ba': 'p64', 'county_name': 'kerr', 'state': 'TX'}"
48267,"{'ba': 'p64', 'county_name': 'kimble', 'state': 'TX'}"
48285,"{'ba': 'p64', 'county_name': 'lavaca', 'state': 'TX'}"
48287,"{'ba': 'p64', 'county_name': 'lee', 'state': 'TX'}"
48299,"{'ba': 'p64', 'county_name': 'llano', 'state': 'TX'}"
48319,"{'ba': 'p64', 'county_name': 'mason', 'state': 'TX'}"
48327,"{'ba': 'p64', 'county_name': 'menard', 'state': 'TX'}"
48385,"{'ba': 'p64', 'county_name': 'real', 'state': 'TX'}"
48453,"{'ba': 'p64', 'county_name': 'travis', 'state': 'TX'}"
48471,"{'ba': 'p64', 'county_name': 'walker', 'state': 'TX'}"
48473,"{'ba': 'p64', 'county_name': 'waller', 'state': 'TX'}"
48477,"{'ba': 'p64', 'county_name': 'washington', 'state': 'TX'}"
48491,"{'ba': 'p64', 'county_name': 'williamson', 'state': 'TX'}"
48007,"{'ba': 'p65', 'county_name': 'aransas', 'state': 'TX'}"
48013,"{'ba': 'p65', 'county_name': 'atascosa', 'state': 'TX'}"
48025,"{'ba': 'p65', 'county_name': 'bee', 'state': 'TX'}"
48029,"{'ba': 'p65', 'county_name': 'bexar', 'state': 'TX'}"
48047,"{'ba': 'p65', 'county_name': 'brooks', 'state': 'TX'}"
48057,"{'ba': 'p65', 'county_name': 'calhoun', 'state': 'TX'}"
48061,"{'ba': 'p65', 'county_name': 'cameron', 'state': 'TX'}"
48127,"{'ba': 'p65', 'county_name': 'dimmit', 'state': 'TX'}"
48131,"{'ba': 'p65', 'county_name': 'duval', 'state': 'TX'}"
48163,"{'ba': 'p65', 'county_name': 'frio', 'state': 'TX'}"
48175,"{'ba': 'p65', 'county_name': 'goliad', 'state': 'TX'}"
48215,"{'ba': 'p65', 'county_name': 'hidalgo', 'state': 'TX'}"
48239,"{'ba': 'p65', 'county_name': 'jackson', 'state': 'TX'}"
48247,"{'ba': 'p65', 'county_name': 'jim hogg', 'state': 'TX'}"
48249,"{'ba': 'p65', 'county_name': 'jim wells', 'state': 'TX'}"
48255,"{'ba': 'p65', 'county_name': 'karnes', 'state': 'TX'}"
48261,"{'ba': 'p65', 'county_name': 'kenedy', 'state': 'TX'}"
48273,"{'ba': 'p65', 'county_name': 'kleberg', 'state': 'TX'}"
48283,"{'ba': 'p65', 'county_name': 'la salle', 'state': 'TX'}"
48297,"{'ba': 'p65', 'county_name': 'live oak', 'state': 'TX'}"
48311,"{'ba': 'p65', 'county_name': 'mcmullen', 'state': 'TX'}"
48321,"{'ba': 'p65', 'county_name': 'matagorda', 'state': 'TX'}"
48323,"{'ba': 'p65', 'county_name': 'maverick', 'state': 'TX'}"
48325,"{'ba': 'p65', 'county_name': 'medina', 'state': 'TX'}"
48355,"{'ba': 'p65', 'county_name': 'nueces', 'state': 'TX'}"
48391,"{'ba': 'p65', 'county_name': 'refugio', 'state': 'TX'}"
48409,"{'ba': 'p65', 'county_name': 'san patricio', 'state': 'TX'}"
48427,"{'ba': 'p65', 'county_name': 'starr', 'state': 'TX'}"
48463,"{'ba': 'p65', 'county_name': 'uvalde', 'state': 'TX'}"
48469,"{'ba': 'p65', 'county_name': 'victoria', 'state': 'TX'}"
48479,"{'ba': 'p65', 'county_name': 'webb', 'state': 'TX'}"
48481,"{'ba': 'p65', 'county_name': 'wharton', 'state': 'TX'}"
48489,"{'ba': 'p65', 'county_name': 'willacy', 'state': 'TX'}"
48493,"{'ba': 'p65', 'county_name': 'wilson', 'state': 'TX'}"
48505,"{'ba': 'p65', 'county_name': 'zapata', 'state': 'TX'}"
48507,"{'ba': 'p65', 'county_name': 'zavala', 'state': 'TX'}"
48071,"{'ba': 'p66', 'county_name': 'chambers', 'state': 'TX'}"
